change,word,homophone,semantic1,semantic2,easy1,easy2
ʃpiːt͡sənfuː\ksk3\ks9fbalklʊbs,Spitzenfu\xc3\x9fballklubs,Spitzenfu\xc3\x9fballclubs,Hund,Verteidigung,Montag,falsch
valbeːoːbaxtəʀn,Walbeobachtern,Wahlbeobachtern,einzigartig,Knopf,vor,Tasche
ɡɛplɔkt,gebloggt,geblockt,Schreibtisch,Ferse,Bildschirm,Neffe
tɑːlhaɪms,Thalheims,Talheims,Schauspielerin,Beziehung,Mann,Schwester
kʀɑːfoːloːɡiːʃən,grafologischen,graphologischen,beißen,Slip,Ereignis,Kollege
meːdɪŋklʊbs,Medienklubs,Medienclubs,Brand,langsam,dort,Segeln
biːɔkʀɑːfiːbeːt͡soːɡəneːm,biographiebezogenem,biografiebezogenem,nachträglich,Motorrad,Richter,Zimmer
pʀalst,prallst,prahlst,erfreut,Qualität,oft,Großmutter
zɪxtɛst,sichtest,siechtest,Erfahrung,nie,riechen,Silber
vɛkkaʀtən,wegkarrten,Wegkarten,Gleis,Ortschaft,beabsichtigen,Geheimnis
təʀeːsɑːs,Theresas,Teresas,regional,außerdem,Politiker,Summe
naxtfantɑːsiːə,Nachtfantasie,Nachtphantasie,Eidechse,Knopf,Recht,Tisch
klʊptiːtɛln,Klubtiteln,Clubtiteln,werfen,Wachstum,gestern,Klempnerin
apɡeːaktən,abgehackten,abgehakten,Adresse,Surfen,wegnehmen,heben
fyːsiːoːɡeːɔkʀɑːfiːʃ,physiogeographisch,physiogeografisch,Angst,Journalistin,Urenkelin,immer
paʀtaɪklʊbs,Parteiklubs,Parteiclubs,wissen,Kongress,Freund,um
nɑːt͡siːoːnalʀatskluː,Nationalratsclu,Nationalratsklu,Zustand,Person,Mittel,Gedanken
ʀʊmkʀɑːkɛltə,rumkrakeelte,rumkrakelte,Krimi,Kuh,während,vorher
aʊspʀaxt,ausspracht,ausbracht,Schlange,erschrocken,tatsächlich,Umfang
hʏtʀɔkʀɑːfiːʃə,hydrographische,hydrografische,öffnen,Gewicht,Ingenieurin,Mantel
vɛtəʀboːtə,Wetterboote,Wetterbote,Aussehen,Gehirn,setzen,sofort
tʀaiɛkspiːt͡sən,Dreieckspitzen,Dreiecksspitzen,wechseln,Merkmal,Blumenkohl,prüfen
dəntalʀɑːdiːɔkʀɑːfiːə,Dentalradiografie,Dentalradiographie,Handgelenk,Demokratie,Schwimmen,modern
klʊpliːdeːs,Klubliedes,Clubliedes,Bildschirm,Individuum,grau,Kassierer
ʀaɪŋkloːt͡sə,reinklotze,reinglotze,Pronomen,als,Bett,Märchen
beːf\ksk3\ksb6lkəʀʊŋsɡeːɔkʀɑːfiːə,Bev\xc3\xb6lkerungsgeografie,Bev\xc3\xb6lkerungsgeographie,mit,Besprechung,salzig,Handel
pʀɔkdɔʀf,Brockdorf,Brokdorf,Wesen,etcetera,Lüge,Feld
pʀoːfɪnt͡skluː,Provinzclu,Provinzklu,Grundsatz,Horror,September,Brille
zaksoːfoːnən,Saxophonen,Saxofonen,Gefühl,Wirbelsturm,machen,allgemein
k\ksk3\ksbknstləʀbiːɔkʀɑːfiːə,K\xc3\xbcnstlerbiografie,K\xc3\xbcnstlerbiographie,Sicherheit,stinkend,wegnehmen,bewundern
ziːt͡sən,sitzen,siezen,dasitzen,hocken,Bäcker,Ortschaft
teːɑːtəʀjuːɡəndkluː,Theaterjugendclu,Theaterjugendklu,Bevölkerung,nachdem,Richter,hinten
d\ksk3\ksbkʀən,D\xc3\xbcren,d\xc3\xbcrren,Merkmal,Kanzlerin,Partner,fast
pɔstuːmə,postume,posthume,fast,Auto,Frieden,Knopf
fantɑːsiːuːniːfɔʀm,Phantasieuniform,Fantasieuniform,fremd,Aussehen,bedauern,ebenfalls
liːtəʀɑːtʊʀbɪpliːɔkʀɑːfiːə,Literaturbibliografie,Literaturbibliographie,Bild,Gesicht,glauben,Klettern
klʊpʃauɡənbɔvlə,Glupschaugenbowle,Glubschaugenbowle,wann,Wunsch,Besprechung,Bild
t͡sʊtʀeːtən,zudrehten,zutreten,Tintenfisch,Enkelin,Nase,Neffe
kʀɑːfɪtfaʀbənɐ,graphitfarbener,grafitfarbener,Krokodil,würzig,Verbot,vergleichen
kalbsteːɑːk,Kalbsteak,Kalbssteak,Existenz,hier,Knoblauch,schreiben
ɡeːsamtfaʀt͡saitən,Gesamtfahrtzeiten,Gesamtfahrzeiten,eintreten,auf,Mittel,Handel
ʃtatsəndəʀn,Staatssendern,Stadtsendern,Art,verschlechtern,Rote Bete,falten
ɡənəʀalstɑː,Generalssta,Generalsta,Verbesserung,unter,Schlagzeug,Fuß
kʀɑːfiːʃeːm,graphischem,grafischem,exakt,Spinne,Einheit,Luft
aiŋəʀamt,eingerahmt,eingerammt,Gleis,Schuh,Krieg,schwarz
zɪtlʊŋsɡeːɔkʀɑːfiːʃeːs,siedlungsgeografisches,siedlungsgeographisches,Geschäft,Nacktschnecke,Transaktion,Schal
naxtklʊpbeːsiːt͡səʀs,Nachtclubbesitzers,Nachtklubbesitzers,unmöglich,dann,Gesicht,denken
jɔnyː,Jonny,Johnny,Vereinbarung,Billard,Name,Bildschirm
maʀliːs,Marlis,Marlies,Cousine,bedienen,Adverb,Vorschrift
kʀɑːt,Grad,Grat,dick,Cello,warm,Gebäude
foːtoːlaitʊŋk,Fotoleitung,Photoleitung,Zahnarzt,Nichte,natürlich,Urenkel
fantɑːsiːloːsɛstɐ,phantasielosester,fantasielosester,Fahrzeug,Schal,bewerten,Ähnlichkeit
tʀɪfst,triefst,triffst,Nadel,oft,Meer,Sohn
ʀɛktɛst,recktest,regtest,Fuß,zurückgehen,öffentlich,kalt
haʀleːm,Haarlem,Harlem,überrascht,Fall,wahrscheinlich,geben
takteːt,tagtet,taktet,Feuer,Problem,erstechen,Kilometer
mɪkʀoːfɔŋkɑːbɛln,Mikrophonkabeln,Mikrofonkabeln,Raum,national,April,dann
ʀoːtoːʀən,Rotohren,Rotoren,Bewusstsein,Kleid,oft,Gold
kɔmpuːtəʀkʀɑːfiːkən,Computergraphiken,Computergrafiken,greifen,Kind,Bekanntschaft,Ergebnis
t͡sɛnsaitiːɡə,zehnsaitige,zehnseitige,weltweit,Projekt,dermaßen,Geige
ʃpɪlsaitən,Spielseiten,Spielsaiten,erschrecken,verneinen,Karotte,Ton
tʀɪfteːt,trieftet,driftet,spielen,Notwendigkeit,Arzt,gering
ɡeːɔkʀɑːfiːleːʀəʀɪnən,Geographielehrerinnen,Geografielehrerinnen,zurückkehren,Produkt,scheinen,Bank
tʀanspɔʀtfaʀt͡soːyːɡə,Transportfahrzeuge,Transportfahrtzeuge,Verwaltung,Romanze,wachsen,Mechanikerin
handɛlspanə,Handelsspanne,Handelspanne,Schnürsenkel,Mechanikerin,ihr,Merkmal
aɪnt͡sɛlkʊltuːʀən,Einzellkulturen,Einzelkulturen,Salz,außer,vor,Krawatte
diːçɛstiːf,digestiv,Digestif,Art,Bäckerin,Weg,Kammer
bɪltbiːɔkʀɑːfiːə,Bildbiographie,Bildbiografie,Projekt,Fortpflanzung,zehnter,Vogel
lɛʀfɔʀmeːl,Lehrformel,Leerformel,traurig,Rat,Elektrikerin,Kraft
lɛʀteːt,leertet,lehrtet,Lösung,messen,Knochen,Wunsch
ʃtatsɛkʀeːt\ksk3\ksɑː4ʀɪnən,Staatssekret\xc3\xa4rinnen,Stadtsekret\xc3\xa4rinnen,öffnen,Gegenwart,reparieren,Adverb
hans,Hans,Hanns,letzter,letzter,Ärmel,Objekt
ʃtuːdəntəŋkluː,Studentenclu,Studentenklu,Urwald,also,grau,Unterschied
biːɔkʀɑːfiːʃeːm,biografischem,biographischem,Biologe,gelangweilt,erschrocken,scheinen
kɑːnoːpuːs,Canopus,Kanopus,Direktorin,Kopf,Angestellte,noch
kʀɑːfɪkbɪlt͡ʃɪʀm,Grafikbildschirm,Graphikbildschirm,alles,Donnerstag,Ursprung,Stellvertreter
fəʀmɪst,vermiest,vermisst,Krankenhaus,Sicherheit,zwei,Prozess
d\ksk3\ksbkʀstə,d\xc3\xbcrrste,d\xc3\xbcrste,nehmen,reparieren,offensichtlich,wegnehmen
kaʀtəŋkɑːsiːnoː,Kartenkasino,Kartencasino,führend,Staat,Vogel,existieren
fʊŋkteːlɛkʀɑːfiːə,Funktelegrafie,Funktelegraphie,wünschen,Weinbergschnecke,nähern,Name
ɡəʀhaʀt,Gerhart,Gerhardt,Sicht,folgend,schlafen,genießen
fantɑːsiːɡɛldeːs,Fantasiegeldes,Phantasiegeldes,Golf,von,Hauptstadt,Angestellte
ʃʀɔtvɑːɡən,Schrottwagen,Schrottwaagen,Schrottkarre,Schrottkiste,zehnter,sagen
t͡sait,zeit,zeiht,Biologin,Gehör,Produktion,Bett
fantɑːsiːɛldiːn,Fantasieheldin,Phantasieheldin,fünfter,Leber,Gesellschaft,bleiben
xoːʀeːɔkʀɑːfiːʃə,choreographische,choreografische,kulturell,Oberschenkel,Reißverschluss,prüfen
kɑːmɪlɑː,Camilla,Kamilla,Wüste,Schulter,Pronomen,überlegen
fantɑːsɪpʀoːjɛkt,Phantasieprojekt,Fantasieprojekt,nähern,Enkelin,Inhalt,gemeinsam
leːbənstʀaŋk,Lebensdrang,Lebenstrank,Skifahren,Empfindung,Geld,Handball
kɔʀdm\ksk3\ksbkt͡sən,Cordm\xc3\xbctzen,Kordm\xc3\xbctzen,Nagel,Freiheit,Weinbergschnecke,Demokratie
aʊstʀeːtən,ausdrehten,austreten,lachen,Krimi,Lebewesen,Hand
ʃtatspɔʀt,Stadtsport,Staatssport,Großmutter,Roller,Bauch,Geschäftsfrau
vɪsənstant,Wissensstand,Wissenstand,Vertrauen,greifen,Charakter,bauen
kluːbhʏmnən,Klubhymnen,Clubhymnen,Ärmel,Nadel,nach,hier
mɪtsʊmə,Mietsumme,mitsumme,Mietpreis,Mietbetrag,Landstraße,Preis
tyːpɔkʀɑːfiːʃɐ,typografischer,typographischer,existieren,sieben,aus,treffen
t͡svəʀkhʊndɛkluː,Zwerghundeclu,Zwerghundeklu,geben,überlegen,Kraft,folgen
kɔntənaŋkə,Contenance,Kontenance,Fassung,Beherrschtheit,nie,Feuerwehrfrau
ʀɛxtspʀeːxənt,rechtsprechend,rechtssprechend,zehn,Schlittschuhlaufen,obwohl,Bereich
ʀamst,rammst,rahmst,Zentimeter,Kanzler,dort,Mittel
flʊsdɛlfiːnə,Flussdelphine,Flussdelfine,nachdem,erschaffen,Polizeistation,Mehrheit
beːoː,beho,Beo,fehlen,Rathaus,vereinbaren,eintreten
ɡeːlɛktən,gelegten,geleckten,leben,müde,Kampagne,exakt
fɔʀtastənt,forthastend,vortastend,Breite,Beschleunigung,prüfen,furchtbar
klʊpʃauɡən,Glubschaugen,Glupschaugen,schmal,Hand,erschrocken,wegnehmen
zɔft,sofft,soft,Ort,Kellnerin,weiterhin,Erwachsener
foːtoːviːdəʀstandeːs,Photowiderstandes,Fotowiderstandes,trinken,Friseursalon,millionster,Tankstellenwärterin
toːpɔkʀɑːfiːʃeːs,topografisches,topographisches,Handlung,Direktorin,Stuhl,Parlamentarierin
hp,HP,HB,Weinbergschnecke,Falke,finden,Bar
nɑːt͡siːoːnalkiːneːmɑːtɔkʀɑːfiːə,Nationalkinematographie,Nationalkinematografie,Familie,umgekehrt,glücklich,besonders
kʀaftfaʀt͡soːyːɡən,Kraftfahrzeugen,Kraftfahrtzeugen,Schnur,glauben,Urenkel,Lösung
viːdəʀspiːl,Widerspiel,Wiederspiel,setzen,Provinz,Ärztin,messen
fantɑːsiːʀaɪkstən,phantasiereichsten,fantasiereichsten,lassen,erschaffen,lieben,Kraft
kɔnstant͡sə,Konstanze,Constanze,Kind,Abteilung,berühren,oft
kalɪkʀɑːfiːkʊʀsə,Kalligrafiekurse,Kalligraphiekurse,gegenüber,Freude,Diktatur,Verkehr
fʀauənfantɑːsiːn,Frauenphantasien,Frauenfantasien,früh,Diktatur,kaufen,Garnele
bɔʀtɛxniːkən,Bordtechniken,Bohrtechniken,heute,Erbsen,probieren,Schwester
əʀtaubə,Erdtaube,ertaube,schwer,Charakter,helfen,Kassierer
apsəŋktə,absenkte,absengte,Demokratie,können,erklären,Küste
həʀaʊslast,herauslast,herauslasst,bewegen,Spatz,Fliege,Spargel
ʀaɪnt͡sʊkloːt͡sən,reinzuglotzen,reinzuklotzen,Billard,Sicht,unser,Produktion
laktoːsɛfʀai,lactosefrei,laktosefrei,warm,Tasche,Wal,Zuhause
ʃtalknɛxtən,Stahlknechten,Stallknechten,Urenkelin,Gerät,Angestellter,sofort
tyːpɔkʀɑːfiːn,Typographin,Typografien,Typografin,Typograf,demnächst,sagen
hɔlveːk,Hohlweg,Hollweg,Gesicht,neu,Berührung,Bäckerei
ɡeːpɔlteːm,gepooltem,gepoltem,Fuß,fünf,Landstraße,Journalist
ɡeːsaŋstʊndən,Gesangsstunden,Gesangstunden,städtisch,Kappe,Junge,lachen
klʊbɡʀ\ksk3\ksbkndʊŋk,Klubgr\xc3\xbcndung,Clubgr\xc3\xbcndung,Länge,gut,mitten,Hauptstadt
altəʀsbiːɔkʀɑːfiːn,Altersbiografien,Altersbiographien,Krankenhaus,Ortschaft,Adverb,Bohnen
ɑːdɛlskluː,Adelsklu,Adelsclu,probieren,Treppenhaus,Schwester,Wirtschaft
vɔnstat,Wohnstatt,Wohnstadt,Wohnung,Behausung,Meer,neu
kuːvait,Kuweit,Kuwait,Aufzug,Langeweile,Transport,Abgeordnete
m\ksk3\ksɑː4txənfantɑːsiːə,M\xc3\xa4dchenfantasie,M\xc3\xa4dchenphantasie,Kommission,ruhig,Kette,Kampagne
kliːt͡ʃiːk,klitschig,glitschig,Schreibwarenladen,bewerten,Art,hundertster
kɔmpiːliːʀən,compilieren,kompilieren,Schwimmen,Informatiker,Mechanikerin,lieben
klʊpsɛsɛls,Klubsessels,Clubsessels,kennen,Berührung,hören,Zug
ɡəʀamteːs,gerammtes,gerahmtes,etwas,Dienstleistung,Ärztin,unser
klaɪnpəʀkʊsiːoːn,Kleinperkussion,Kleinpercussion,viel,Situation,September,trennen
fɔʀɡ\ksk3\ksɑː4ŋəʀkluː,Vorg\xc3\xa4ngerclu,Vorg\xc3\xa4ngerklu,Vernunft,öffentlich,Februar,Adverb
fɛxtkluː,Fechtklu,Fechtclu,Dorf,Senatorin,Fisch,Liebe
klaktən,klagten,klackten,aufgewühlt,während,Transaktion,Klempner
fəʀtʀeːtə,verdrehte,vertrete,Klarinette,reparieren,Ebene,Bart
fuː\ksk3\ks9fbalkluː,Fu\xc3\x9fballclu,Fu\xc3\x9fballklu,Sellerie,Politikerin,nehmen,Koch
aʊstɪkst,ausstichst,austickst,lokal,Schritt,vorankommen,Schmetterling
zɛlbstailʊŋk,Selbstheilung,Selbstteilung,zwei,zurückkehren,warten,Inhalt
zoːt͡siːalɡeːɔkʀɑːfiːə,Sozialgeografie,Sozialgeographie,Journalist,Tornado,Boxen,Kegeln
fɔʀt͡sʊɡstɪmənvɑːl,Vorzugsstimmenwahl,Vorzugstimmenwahl,auf,ankommen,Spatz,Heuschrecke
kʊʀt͡snɑːmən,Kurznamen,Kurznahmen,März,Verband,kommunizieren,Elefant
kɑːt,kath,Kat,Leistung,Wissenschaftlerin,Mechaniker,zusammen
klʊpkamp͡feːs,Klubkampfes,Clubkampfes,gewöhnlich,Chronik,Donnerstag,Arm
zeːɡɛlflʊkt͡soːʏɡkluː,Segelflugzeugklu,Segelflugzeugclu,Verschlechterung,beabsichtigen,Artikel,schlafen
miːtɪntəʀɛsənt,Mitinteressent,Mietinteressent,Rathaus,dort,unwahrscheinlich,Zustand
