index,sentence
244,"Halaber, beraren eta bere alabaren arteko belaunaldia aztertu zuen."
245,Emakumeen kalterako zirela zioten abadeek.
246,Batez besteko tasak edo ehunekoak kalkulatzeko ere erabiltzen da.
247,Gerra amaitzean Espainiako armada erregularrean koronel kargua lortu zuen.
248,Anjelek ez omen zuen buruz ondo gogoratzen protagonistaren izena.
249,"Amaordeak sasikoa zelako baztertuta, Quitoko Santa Katalina komentuan hartu zuten."
250,"Honek, indarra ematen dio hezur honen gorputzari."
251,Lehiaketa ugaritan parte hartu zuen eta askotan irabazi zuen.
252,Erdian disko biribil bat dute.
253,Neska horien lana jai batetik bestera joatea dirudi.
254,Afrika eta Amerikan bizi dira.
255,"Bere heriotzaren ondorioz negar egin ondoren, bizia itzuli zion."
256,Orban Gorri Handia nahikoa handia da Lurra bere barnean sartzeko.
257,Antzinaroan Poseidon eta Afroditaren santutegi ezagunagatik ezagutzen zen.
258,Esku bateko zainean kateterra sartu eta bihotzeraino eraman zuen.
259,Helburua Euskal Herriko ikurrina irabaztea da.
260,Denda handietarako eta beste diseinatzaileentzako lanak egiten hasi zen.
261,Kaukasoko nazio txiki baten independentzia prozesua.
262,Bi ataleko nabe bakarra dauka elizak.
263,Denboraren poderioz kultuzko filma bilakatu zen.
264,"Jaio zen herrixkan bizi da, guraso, familia eta Fatima emaztearekin."
265,Ez naiz ez katoliko ez protestante; izatekotan katilukoa.
266,Faila-blokeen arteko mugimenduak marruskadura eragiten du faila-planoan.
267,"Ardoa, zuria zein beltza, taninoak ditu bere baitan."
268,Baldintza objektiboak Oiartzunen eta eskualdeko leku askotan daude.
269,"Kamerun, Nigeria eta Ekuatore Ginean bizi dira."
270,"Zortzigarren bukatu zuen eta horrenbestez, diploma olinpikoa lortu zuen."
271,Zu beti berandu heltzen diren horietakoa zara.
272,Balio handiko tresna diagnostikoa da odol-analisia.
273,Frantziako gobernuak enpresa nazionalizatu egin zuten.
274,Gizarteko hainbat sailetako eragileak eta ordezkariak biltzen dira bertan.
275,"Toki berean, aurretik beste dorre bat zegoen."
276,Hortik omen dator hiriaren izena.
277,Droga honek tonu orokorra suspertzen du eta ulermena hobetzen du.
278,Hurrengo mendeetan hiri burgesa bihurtu zen.
279,Hona hemen leinu eta generoak.
280,Diada egunez enegarren indar erakustaldia egin du Kataluniako mugimendu independentistak.
281,Bi interesgune zituen: umeak eta euskara.
282,"Bere tokian, itxura berdineko eraikin berria altxatu da."
283,Bilbon jaioa bada ere Gasteizen bizi izan da txikitatik.
284,"Bere tontorrean, azken jainko honi eskainitako tenplu bat zegoen."
285,"Baina batez ere, erresonantzia kutxa handi bat izango zen seminarioa."
286,Urte hauetan Norvegiako erresumak bere luzera handiena lortu zuen.
287,Ekialdeko Enperadoreak zein Galiako erregeak ere honela onartu zuten.
288,"Jendea mugitzen ari da, bakoitza bere parte hartzeko moduan."
289,Bere izena Angola herrialdeagatik jasotzen du.
290,Eduardo Txillida donostiar eskultorearen omenezko izena darama.
291,"Bertan ibilaldi, hitzaldi, lantegi eta kontzertuak egiten dira."
292,Bere eraikuntza mendez-mende burutu zen.
293,Barnean hiru espezie baino ez ditu.
294,"Garai hartakoak dira, hain zuzen, harlanduzko hormak eta egurrezko egitura."
295,"Zuzenbidean lizentziaduna da, eta gizarte-politikan eta gizarte-zerbitzuetan aditua."
296,Hiru aliota espezie Euskal Herrian bizi dira.
297,Hirurogeita hamalau urte zituela hil omen zen madarikazio baten ondorioz.
298,"Mendi honen tontorrean, postontzi bat eta hiru mugarri daude."
299,Bigarren zatia geroago eliza katolikoak jarritako osaketa da.
300,"Bigarren hau izan zen hoberena lehenengo fasean, hala ere."
301,"Hau da, bi lauki alde batera eta bat horrekiko elkarzut."
302,"Bestetik, arrazakeria barruan sartuta darama zenbaitek."
303,Edo aurten bertan Europako Kontseiluko Giza Eskubideen Goi mailako Batzordea.
304,"Hura beti liburu irakurtzen-eta bai, baina ez oso gizon praktikoa."
305,"Horra, baina, Espainiako selekzioarekin joan ginen lau pilotari euskaldun."
306,Mugikortasun akademikoko sarearen sorkuntza hezkuntza sistemaren aldaketen ondorioa da.
307,Lanbidez Haur Hezkuntzako irakaslea da.
308,Munduko beste hainbat lekutan industriala baino ez dute jaten.
309,Minbizi mota batzuk oso hilkorrak dira.
310,Aldizkariaren azken orrietarako ere erreserbatu dugu berrikuntzarik.
311,Abestia zubereraz idatzita dago eta hala abesten da.
312,"Gero, bi urtez, institutuko irakasle izan zen."
313,Madrilgo Errege Jauregian jardun zuen.
314,"Horretarako, ekuazio diferentzialak eta deribatu partzialak aztertu zituen."
315,Diskoagatik berrogeita hamabost bat euro eskatu zizkioten.
316,Eta Aldundiak ez du ezer egiten horiek eragozteko.
317,Martinen izpiritu sortzaileak ez du inoiz behera egin.
318,Bere kantuagatik da ezaguna urretxindorra.
319,Dokumentuan Anuk-ek abuztuan izan zuen atxiloketaren berri eman zuen.
320,Nafarroa etorbidea eta San Frantzisko kalearen arteko kantoian dago.
321,"Kontzeptua hobeto ulertzeko, hainbat azalpen emango dira."
322,Leioako mugan Santi Mami baseliza dago.
323,"Ikasturtearen azken txanpa honetan, guztiok gaude neka-neka eginda."
324,"Eleberriak, olerkiak eta saioak ere landu izan ditu."
325,Geltokiaren kanpoaldean Bizkaibus zerbitzua hornitzen dituzten bi autobus geraleku daude.
326,Estilo honen ezaugarri nagusia apaingarrien ugaritasuna da.
327,"Horren ondorioz, neskaren babesgabetasuna indartu egiten da."
328,Eta onddo ziztrin batzuek ireki dizkigute begiak.
329,Baina hori ez zen nahikoa behin-behineko patentea berritu ahal izateko.
330,Zuzenbide Estatuak helburu bezala du Giza Eskubideak bermatzea.
331,"Baina beltzak ez zituzten jazarri sistematikoki, juduak edo ijitoak bezala."
332,Eneko Ezkerra Haro leinukoa izan zen.
333,"Ez zen Legebiltzarrera joan ere egin, osasun arazoak zirela-eta."
334,Amerikan bizi dira guztiak eta lurrean zein zuhaitzetan bizi daitezke.
335,Ez dugu dirua atzera eskatzeko asmorik.
336,Politikan ere hartu zuen parte.
337,Etxebizitzak betetzen du eraikinaren hego-mendebaldeko aldeko behe-solairua eta lehen solairua.
338,Bere jatorria zein den ezezaguna da.
339,Gero hala deitu zieten dinastia honetako erregeei.
340,Euria eta elurra ugaria izaten da abendua eta maiatza bitartean.
341,Ehiztari-mamuak heriotza izan daitezke ala maitagarriak.
342,Hizkuntza askotara itzulia izan zen.
343,"Hil zenean, Germaniako tribu guztiak erresuma bakar batean bilduta zeuden."
344,"Halere, kontzeptuak hedapen zabala izan du."
345,Bigarren Bankuari baimena emateko argudio nagusietako bat egonkortasuna zen.
346,Animalia familia bakoitzean hortzeria ezberdina denez aldaketak egon daitezke.
347,Txinako Herri Errepublikak ofizialki onartzen duen gutxiengo etnikoetako bat da.
348,Feniziarren garaiko arrastoak aurki litezke hirian.
349,Europar taldeen artean ordea ez zuen interes handirik piztu.
350,Barrualdean ere baselizak bitxikeria dezente erakusten ditu.
351,Aitzakiok egunez egun baliogabetu ditu Erdoganek bere filtrazioekin.
352,Tratamenduari begira nahiko logikoak dira guztiak.
353,Hegoaldean harresiz inguraturiko lorategia oraindik mantentzen da.
354,Kristalen egiturari buruzko lanak egin zituen batez ere.
355,Bilboko eta Parisko Arte Ederretako Eskoletan egin zituen ikasketak.
356,"Galdera nagusia, beraz, ondorengoa da."
357,"Gerrak aurrera egin ahala, karlisten taldean bi multzo agertu ziren."
358,Azken urteotan eraldatze sakon baten lekuko izan dira.
359,Bi hilabetean behin argitaratzen da.
360,Tenplua eta bere objektuak ikertzen jarraitzen da.
361,Filosofia eta Letretan lizentziatura ikasi zuen.
362,"Tamaina eta erabilera asko izan ditzake: eraikuntza, militarra eta abar."
363,Linea honetako ibilbidea oso zaila zen.
364,Mugimendua adierazteko trebetasuna du ezaugarri nagusietako bat.
365,Normalean hipertrofiarekin batera izaten da.
366,Herrialde serioa garela eta talde indartsua dugula.
367,"Ekonomia ikasi ondoren, Arabako Foru Aldundian lan egin zuen."
368,Bi penintsula luzeren artean kokatzen da.
369,Sukaldeko lanetan erabiltzen ohi dira.
370,Dagoeneko hamaika aldiz erabili dudan trikimailua da.
371,Taldeak beti demokratikoki egin du lan.
372,Dokumentalak egin zituen batez ere.
373,"Kausa bakoitza, borroka bakoitza, bere esparrutxora mugatzen da."
374,"Politikan sartu aurretik, legegizon-lana egin zuen Pauen."
375,Leo zeinuaren aldiarekin bat dator gutxi gorabehera.
376,"Gero, Hezkuntzako Psikologia Masterra egin zuen."
377,"Hauek, Txinako, Mongoliako eta Mantxuriako baso hotzetan bizi dira."
378,Manifestua ez zen oso urrutira iritsi hurrengo bi hamarkadetan.
379,Belazea zeharkatu eta pagadian sartuko gara berriz ere.
380,"Euren bizi esparrua latitude altuetan zegoen, poloetatik gertu."
381,Nafarroako hirugarren futbol talde zaharrena kontsideratzen da.
382,"Bere aburuz, sistema penalari hainbeste garrantzi ematean baitago akatsa."
383,Ur gezatan ere badira hainbat espezie.
384,"Alboan, beste txikiago batzuk ditu, itxura berekoak."
385,Taldeak erantzun gisa izen horixe hartu zuen.
386,"Gainera, izen horrekin izan dira zenbait errege eta jaun ere."
387,Sobietar Batasunaren amaiera eta nazio eraikuntza.
388,Osakidetzako murrizketengatik kritikatu zuten sindikatuek.
389,Biztanle gehienak hiriburuan bizi dira.
390,Gizateriaren historian ohikoa izan bi pertsona baino gehiago elkarrekin lurperatzea.
391,Ez ditu buruz ikasitako esaldiak behin eta berriro errepikatzen.
392,Gero beste begi batzuekin ikusiko du.
393,Garai haietan goseteak eta atzerapena ziren nagusi.
394,Eraikinaren aurrealdea armarri bat ikusgai dago.
395,Biarritzeko taldeak denboraldi oso ona egiten du.
396,"Bai, eta jarraituko du izaten."
397,Bere obra guztia latinez idatzia da.
398,Mila bederatziehun eta laurogeita hemeretzian hasi zinen antzerkian?
399,Armadarekin bat egin behar izan zuen.
400,Hitzak asmatu eta musikarekin bateratu egiten dituzte.
401,Loreak hori kolorekoak eta monoikoak dira.
402,"Askotan Zabala auzoarekin bat eginik agertzen da, Zabala-Belendiz toponimoa erabiliz."
403,Despopulazio-prozesua dela-eta herrixka erabat hutsik geratu zen.
404,San Leonardok honako udalerri hauekin egiten du muga.
405,"Bere karrera politikoa, oso gazte hasi zuen."
406,"Zentsu modernoan, Egiptoko herritarrak dira."
407,Filosofiako irakasle gisa jardun zuen Manilan.
408,"Tomas Jauregi gipuzkoarra izan zen, bestetik, erretaula nagusiaren egilea."
409,"Bere aitak tailer mekaniko bat dauka, eta ama ile-apaintzailea da."
410,Turismoa gero eta garrantzi gehiago hartzen ari da.
411,Seme-alabak Errusiara bidali zituen ikastera.
412,"Antzezten bai, baina umorea egiten ikusi zaitut batez ere."
413,"Iruñean, erremonteak indar handia du."
414,"Euskal Herria fartsa delako, noski, Aznarrek gaztigatu bezala."
415,"Beraz, hemendik eskatuko diegu hezkuntzako arduradun guztiei ordenagailu bana."
416,Erreferentzia bakarra gure ikasleek beraiek ematen ziguten.
417,Araba eta Bizkaian zituen bulegoak.
418,Garbi dago zaldia ez dela eskualde hartako berezko aberea.
419,"Bere propietate oxidatzaileak direla eta, laborategian erreaktibo oso erabilia da."
420,Gerra bukatu arte itxaron behar izan zuen argitaratzeko.
421,Garrantzi handiko karguak izan ditu Eliza Katolikoaren baitan.
422,"Herrialdeko hiru hiriburuetako bat da, botere betearazlea hor baitago."
423,Bisitariek historian murgiltzeko aukera ere izanen dute gune natural honetan.
424,Donibane Garazi ondorengo herri eta hiriekin senidetuta dago.
425,Neskatoak gertatutakoa gaitzetsi eta etxera alde egiten du.
426,Konturatu orduko dozenaka esaldi idatzi ditugu.
427,Estatuaren erdialdea nahiko gune menditsua da.
428,"Bestalde, arrisku egoerak adierazteko ere balio du."
429,Medikuntza fakultatean anatomia eta fisiologia ikastaroak egin zituen.
430,Espezie horiek esporak askatuz ugaltzen dira eta txandakako ugalketa dute.
431,"Elizaren hondarren azpian, erromatarren garaiko aztarnak topatu zituzten."
432,Eraldatzeko borondatea edo trebetasuna duen izpiritu edo hitza?
433,Eskarmentua duen norbait ondoan izateak asko laguntzen du.
434,"Mundu Gerran, Sobietar Batasunaren alde eta Alemania naziaren kontra."
